"ID","IDDIST","NOMBDEP","NOMBPROV","NOMBDIST","NOM_CAPITAL_LEGAL","COD_REG_NAT","REGION_NATURAL"
"1","010101","AMAZONAS","CHACHAPOYAS","CHACHAPOYAS",NULL,NULL,NULL
"2","010102","AMAZONAS","CHACHAPOYAS","ASUNCION",NULL,NULL,NULL
"3","010103","AMAZONAS","CHACHAPOYAS","BALSAS",NULL,NULL,NULL
"4","010104","AMAZONAS","CHACHAPOYAS","CHETO",NULL,NULL,NULL
"5","010105","AMAZONAS","CHACHAPOYAS","CHILIQUIN",NULL,NULL,NULL
"6","010106","AMAZONAS","CHACHAPOYAS","CHUQUIBAMBA",NULL,NULL,NULL
"7","010107","AMAZONAS","CHACHAPOYAS","GRANADA",NULL,NULL,NULL
"8","010108","AMAZONAS","CHACHAPOYAS","HUANCAS",NULL,NULL,NULL
"9","010109","AMAZONAS","CHACHAPOYAS","LA JALCA",NULL,NULL,NULL
"10","010110","AMAZONAS","CHACHAPOYAS","LEIMEBAMBA",NULL,NULL,NULL
"11","010111","AMAZONAS","CHACHAPOYAS","LEVANTO",NULL,NULL,NULL
"12","010112","AMAZONAS","CHACHAPOYAS","MAGDALENA",NULL,NULL,NULL
"13","010113","AMAZONAS","CHACHAPOYAS","MARISCAL CASTILLA",NULL,NULL,NULL
"14","010114","AMAZONAS","CHACHAPOYAS","MOLINOPAMPA",NULL,NULL,NULL
"15","010115","AMAZONAS","CHACHAPOYAS","MONTEVIDEO",NULL,NULL,NULL
"16","010116","AMAZONAS","CHACHAPOYAS","OLLEROS",NULL,NULL,NULL
"17","010117","AMAZONAS","CHACHAPOYAS","QUINJALCA",NULL,NULL,NULL
"18","010118","AMAZONAS","CHACHAPOYAS","SAN FRANCISCO DE DAGUAS",NULL,NULL,NULL
"19","010119","AMAZONAS","CHACHAPOYAS","SAN ISIDRO DE MAINO",NULL,NULL,NULL
"20","010120","AMAZONAS","CHACHAPOYAS","SOLOCO",NULL,NULL,NULL
"21","010121","AMAZONAS","CHACHAPOYAS","SONCHE",NULL,NULL,NULL
"22","010201","AMAZONAS","BAGUA","BAGUA",NULL,NULL,NULL
"23","010202","AMAZONAS","BAGUA","ARAMANGO",NULL,NULL,NULL
"24","010203","AMAZONAS","BAGUA","COPALLIN",NULL,NULL,NULL
"25","010204","AMAZONAS","BAGUA","EL PARCO",NULL,NULL,NULL
"26","010205","AMAZONAS","BAGUA","IMAZA",NULL,NULL,NULL
"27","010206","AMAZONAS","BAGUA","LA PECA",NULL,NULL,NULL
"28","010301","AMAZONAS","BONGARA","JUMBILLA",NULL,NULL,NULL
"29","010302","AMAZONAS","BONGARA","CHISQUILLA",NULL,NULL,NULL
"30","010303","AMAZONAS","BONGARA","CHURUJA",NULL,NULL,NULL
"31","010304","AMAZONAS","BONGARA","COROSHA",NULL,NULL,NULL
"32","010305","AMAZONAS","BONGARA","CUISPES",NULL,NULL,NULL
"33","010306","AMAZONAS","BONGARA","FLORIDA",NULL,NULL,NULL
"34","010307","AMAZONAS","BONGARA","JAZAN",NULL,NULL,NULL
"35","010308","AMAZONAS","BONGARA","RECTA",NULL,NULL,NULL
"36","010309","AMAZONAS","BONGARA","SAN CARLOS",NULL,NULL,NULL
"37","010310","AMAZONAS","BONGARA","SHIPASBAMBA",NULL,NULL,NULL
"38","010311","AMAZONAS","BONGARA","VALERA",NULL,NULL,NULL
"39","010312","AMAZONAS","BONGARA","YAMBRASBAMBA",NULL,NULL,NULL
"40","010401","AMAZONAS","CONDORCANQUI","NIEVA",NULL,NULL,NULL
"41","010402","AMAZONAS","CONDORCANQUI","EL CENEPA",NULL,NULL,NULL
"42","010403","AMAZONAS","CONDORCANQUI","RIO SANTIAGO",NULL,NULL,NULL
"43","010501","AMAZONAS","LUYA","LAMUD",NULL,NULL,NULL
"44","010502","AMAZONAS","LUYA","CAMPORREDONDO",NULL,NULL,NULL
"45","010503","AMAZONAS","LUYA","COCABAMBA",NULL,NULL,NULL
"46","010504","AMAZONAS","LUYA","COLCAMAR",NULL,NULL,NULL
"47","010505","AMAZONAS","LUYA","CONILA",NULL,NULL,NULL
"48","010506","AMAZONAS","LUYA","INGUILPATA",NULL,NULL,NULL
"49","010507","AMAZONAS","LUYA","LONGUITA",NULL,NULL,NULL
"50","010508","AMAZONAS","LUYA","LONYA CHICO",NULL,NULL,NULL
"51","010509","AMAZONAS","LUYA","LUYA",NULL,NULL,NULL
"52","010510","AMAZONAS","LUYA","LUYA VIEJO",NULL,NULL,NULL
"53","010511","AMAZONAS","LUYA","MARIA",NULL,NULL,NULL
"54","010512","AMAZONAS","LUYA","OCALLI",NULL,NULL,NULL
"55","010513","AMAZONAS","LUYA","OCUMAL",NULL,NULL,NULL
"56","010514","AMAZONAS","LUYA","PISUQUIA",NULL,NULL,NULL
"57","010515","AMAZONAS","LUYA","PROVIDENCIA",NULL,NULL,NULL
"58","010516","AMAZONAS","LUYA","SAN CRISTOBAL",NULL,NULL,NULL
"59","010517","AMAZONAS","LUYA","SAN FRANCISCO DEL YESO",NULL,NULL,NULL
"60","010518","AMAZONAS","LUYA","SAN JERONIMO",NULL,NULL,NULL
"61","010519","AMAZONAS","LUYA","SAN JUAN DE LOPECANCHA",NULL,NULL,NULL
"62","010520","AMAZONAS","LUYA","SANTA CATALINA",NULL,NULL,NULL
"63","010521","AMAZONAS","LUYA","SANTO TOMAS",NULL,NULL,NULL
"64","010522","AMAZONAS","LUYA","TINGO",NULL,NULL,NULL
"65","010523","AMAZONAS","LUYA","TRITA",NULL,NULL,NULL
"66","010601","AMAZONAS","RODRIGUEZ DE MENDOZA","SAN NICOLAS",NULL,NULL,NULL
"67","010602","AMAZONAS","RODRIGUEZ DE MENDOZA","CHIRIMOTO",NULL,NULL,NULL
"68","010603","AMAZONAS","RODRIGUEZ DE MENDOZA","COCHAMAL",NULL,NULL,NULL
"69","010604","AMAZONAS","RODRIGUEZ DE MENDOZA","HUAMBO",NULL,NULL,NULL
"70","010605","AMAZONAS","RODRIGUEZ DE MENDOZA","LIMABAMBA",NULL,NULL,NULL
"71","010606","AMAZONAS","RODRIGUEZ DE MENDOZA","LONGAR",NULL,NULL,NULL
"72","010607","AMAZONAS","RODRIGUEZ DE MENDOZA","MARISCAL BENAVIDES",NULL,NULL,NULL
"73","010608","AMAZONAS","RODRIGUEZ DE MENDOZA","MILPUC",NULL,NULL,NULL
"74","010609","AMAZONAS","RODRIGUEZ DE MENDOZA","OMIA",NULL,NULL,NULL
"75","010610","AMAZONAS","RODRIGUEZ DE MENDOZA","SANTA ROSA",NULL,NULL,NULL
"76","010611","AMAZONAS","RODRIGUEZ DE MENDOZA","TOTORA",NULL,NULL,NULL
"77","010612","AMAZONAS","RODRIGUEZ DE MENDOZA","VISTA ALEGRE",NULL,NULL,NULL
"78","010701","AMAZONAS","UTCUBAMBA","BAGUA GRANDE",NULL,NULL,NULL
"79","010702","AMAZONAS","UTCUBAMBA","CAJARURO",NULL,NULL,NULL
"80","010703","AMAZONAS","UTCUBAMBA","CUMBA",NULL,NULL,NULL
"81","010704","AMAZONAS","UTCUBAMBA","EL MILAGRO",NULL,NULL,NULL
"82","010705","AMAZONAS","UTCUBAMBA","JAMALCA",NULL,NULL,NULL
"83","010706","AMAZONAS","UTCUBAMBA","LONYA GRANDE",NULL,NULL,NULL
"84","010707","AMAZONAS","UTCUBAMBA","YAMON",NULL,NULL,NULL
"85","020101","ANCASH","HUARAZ","HUARAZ",NULL,NULL,NULL
"86","020102","ANCASH","HUARAZ","COCHABAMBA",NULL,NULL,NULL
"87","020103","ANCASH","HUARAZ","COLCABAMBA",NULL,NULL,NULL
"88","020104","ANCASH","HUARAZ","HUANCHAY",NULL,NULL,NULL
"89","020105","ANCASH","HUARAZ","INDEPENDENCIA",NULL,NULL,NULL
"90","020106","ANCASH","HUARAZ","JANGAS",NULL,NULL,NULL
"91","020107","ANCASH","HUARAZ","LA LIBERTAD",NULL,NULL,NULL
"92","020108","ANCASH","HUARAZ","OLLEROS",NULL,NULL,NULL
"93","020109","ANCASH","HUARAZ","PAMPAS GRANDE",NULL,NULL,NULL
"94","020110","ANCASH","HUARAZ","PARIACOTO",NULL,NULL,NULL
"95","020111","ANCASH","HUARAZ","PIRA",NULL,NULL,NULL
"96","020112","ANCASH","HUARAZ","TARICA",NULL,NULL,NULL
"97","020201","ANCASH","AIJA","AIJA",NULL,NULL,NULL
"98","020202","ANCASH","AIJA","CORIS",NULL,NULL,NULL
"99","020203","ANCASH","AIJA","HUACLLAN",NULL,NULL,NULL
"100","020204","ANCASH","AIJA","LA MERCED",NULL,NULL,NULL
"101","020205","ANCASH","AIJA","SUCCHA",NULL,NULL,NULL
"102","020301","ANCASH","ANTONIO RAYMONDI","LLAMELLIN",NULL,NULL,NULL
"103","020302","ANCASH","ANTONIO RAYMONDI","ACZO",NULL,NULL,NULL
"104","020303","ANCASH","ANTONIO RAYMONDI","CHACCHO",NULL,NULL,NULL
"105","020304","ANCASH","ANTONIO RAYMONDI","CHINGAS",NULL,NULL,NULL
"106","020305","ANCASH","ANTONIO RAYMONDI","MIRGAS",NULL,NULL,NULL
"107","020306","ANCASH","ANTONIO RAYMONDI","SAN JUAN DE RONTOY",NULL,NULL,NULL
"108","020401","ANCASH","ASUNCION","CHACAS",NULL,NULL,NULL
"109","020402","ANCASH","ASUNCION","ACOCHACA",NULL,NULL,NULL
"110","020501","ANCASH","BOLOGNESI","CHIQUIAN",NULL,NULL,NULL
"111","020502","ANCASH","BOLOGNESI","ABELARDO PARDO LEZAMETA",NULL,NULL,NULL
"112","020503","ANCASH","BOLOGNESI","ANTONIO RAYMONDI",NULL,NULL,NULL
"113","020504","ANCASH","BOLOGNESI","AQUIA",NULL,NULL,NULL
"114","020505","ANCASH","BOLOGNESI","CAJACAY",NULL,NULL,NULL
"115","020506","ANCASH","BOLOGNESI","CANIS",NULL,NULL,NULL
"116","020507","ANCASH","BOLOGNESI","COLQUIOC",NULL,NULL,NULL
"117","020508","ANCASH","BOLOGNESI","HUALLANCA",NULL,NULL,NULL
"118","020509","ANCASH","BOLOGNESI","HUASTA",NULL,NULL,NULL
"119","020510","ANCASH","BOLOGNESI","HUAYLLACAYAN",NULL,NULL,NULL
"120","020511","ANCASH","BOLOGNESI","LA PRIMAVERA",NULL,NULL,NULL
"121","020512","ANCASH","BOLOGNESI","MANGAS",NULL,NULL,NULL
"122","020513","ANCASH","BOLOGNESI","PACLLON",NULL,NULL,NULL
"123","020514","ANCASH","BOLOGNESI","SAN MIGUEL DE CORPANQUI",NULL,NULL,NULL
"124","020515","ANCASH","BOLOGNESI","TICLLOS",NULL,NULL,NULL
"125","020601","ANCASH","CARHUAZ","CARHUAZ",NULL,NULL,NULL
"126","020602","ANCASH","CARHUAZ","ACOPAMPA",NULL,NULL,NULL
"127","020603","ANCASH","CARHUAZ","AMASHCA",NULL,NULL,NULL
"128","020604","ANCASH","CARHUAZ","ANTA",NULL,NULL,NULL
"129","020605","ANCASH","CARHUAZ","ATAQUERO",NULL,NULL,NULL
"130","020606","ANCASH","CARHUAZ","MARCARA",NULL,NULL,NULL
"131","020607","ANCASH","CARHUAZ","PARIAHUANCA",NULL,NULL,NULL
"132","020608","ANCASH","CARHUAZ","SAN MIGUEL DE ACO",NULL,NULL,NULL
"133","020609","ANCASH","CARHUAZ","SHILLA",NULL,NULL,NULL
"134","020610","ANCASH","CARHUAZ","TINCO",NULL,NULL,NULL
"135","020611","ANCASH","CARHUAZ","YUNGAR",NULL,NULL,NULL
"136","020701","ANCASH","CARLOS FERMIN FITZCARRALD","SAN LUIS",NULL,NULL,NULL
"137","020702","ANCASH","CARLOS FERMIN FITZCARRALD","SAN NICOLAS",NULL,NULL,NULL
"138","020703","ANCASH","CARLOS FERMIN FITZCARRALD","YAUYA",NULL,NULL,NULL
"139","020801","ANCASH","CASMA","CASMA",NULL,NULL,NULL
"140","020802","ANCASH","CASMA","BUENA VISTA ALTA",NULL,NULL,NULL
"141","020803","ANCASH","CASMA","COMANDANTE NOEL",NULL,NULL,NULL
"142","020804","ANCASH","CASMA","YAUTAN",NULL,NULL,NULL
"143","020901","ANCASH","CORONGO","CORONGO",NULL,NULL,NULL
"144","020902","ANCASH","CORONGO","ACO",NULL,NULL,NULL
"145","020903","ANCASH","CORONGO","BAMBAS",NULL,NULL,NULL
"146","020904","ANCASH","CORONGO","CUSCA",NULL,NULL,NULL
"147","020905","ANCASH","CORONGO","LA PAMPA",NULL,NULL,NULL
"148","020906","ANCASH","CORONGO","YANAC",NULL,NULL,NULL
"149","020907","ANCASH","CORONGO","YUPAN",NULL,NULL,NULL
"150","021001","ANCASH","HUARI","HUARI",NULL,NULL,NULL
"151","021002","ANCASH","HUARI","ANRA",NULL,NULL,NULL
"152","021003","ANCASH","HUARI","CAJAY",NULL,NULL,NULL
"153","021004","ANCASH","HUARI","CHAVIN DE HUANTAR",NULL,NULL,NULL
"154","021005","ANCASH","HUARI","HUACACHI",NULL,NULL,NULL
"155","021006","ANCASH","HUARI","HUACCHIS",NULL,NULL,NULL
"156","021007","ANCASH","HUARI","HUACHIS",NULL,NULL,NULL
"157","021008","ANCASH","HUARI","HUANTAR",NULL,NULL,NULL
"158","021009","ANCASH","HUARI","MASIN",NULL,NULL,NULL
"159","021010","ANCASH","HUARI","PAUCAS",NULL,NULL,NULL
"160","021011","ANCASH","HUARI","PONTO",NULL,NULL,NULL
"161","021012","ANCASH","HUARI","RAHUAPAMPA",NULL,NULL,NULL
"162","021013","ANCASH","HUARI","RAPAYAN",NULL,NULL,NULL
"163","021014","ANCASH","HUARI","SAN MARCOS",NULL,NULL,NULL
"164","021015","ANCASH","HUARI","SAN PEDRO DE CHANA",NULL,NULL,NULL
"165","021016","ANCASH","HUARI","UCO",NULL,NULL,NULL
"166","021101","ANCASH","HUARMEY","HUARMEY",NULL,NULL,NULL
"167","021102","ANCASH","HUARMEY","COCHAPETI",NULL,NULL,NULL
"168","021103","ANCASH","HUARMEY","CULEBRAS",NULL,NULL,NULL
"169","021104","ANCASH","HUARMEY","HUAYAN",NULL,NULL,NULL
"170","021105","ANCASH","HUARMEY","MALVAS",NULL,NULL,NULL
"171","021201","ANCASH","HUAYLAS","CARAZ",NULL,NULL,NULL
"172","021202","ANCASH","HUAYLAS","HUALLANCA",NULL,NULL,NULL
"173","021203","ANCASH","HUAYLAS","HUATA",NULL,NULL,NULL
"174","021204","ANCASH","HUAYLAS","HUAYLAS",NULL,NULL,NULL
"175","021205","ANCASH","HUAYLAS","MATO",NULL,NULL,NULL
"176","021206","ANCASH","HUAYLAS","PAMPAROMAS",NULL,NULL,NULL
"177","021207","ANCASH","HUAYLAS","PUEBLO LIBRE",NULL,NULL,NULL
"178","021208","ANCASH","HUAYLAS","SANTA CRUZ",NULL,NULL,NULL
"179","021209","ANCASH","HUAYLAS","SANTO TORIBIO",NULL,NULL,NULL
"180","021210","ANCASH","HUAYLAS","YURACMARCA",NULL,NULL,NULL
"181","021301","ANCASH","MARISCAL LUZURIAGA","PISCOBAMBA",NULL,NULL,NULL
"182","021302","ANCASH","MARISCAL LUZURIAGA","CASCA",NULL,NULL,NULL
"183","021303","ANCASH","MARISCAL LUZURIAGA","ELEAZAR GUZMAN BARRON",NULL,NULL,NULL
"184","021304","ANCASH","MARISCAL LUZURIAGA","FIDEL OLIVAS ESCUDERO",NULL,NULL,NULL
"185","021305","ANCASH","MARISCAL LUZURIAGA","LLAMA",NULL,NULL,NULL
"186","021306","ANCASH","MARISCAL LUZURIAGA","LLUMPA",NULL,NULL,NULL
"187","021307","ANCASH","MARISCAL LUZURIAGA","LUCMA",NULL,NULL,NULL
"188","021308","ANCASH","MARISCAL LUZURIAGA","MUSGA",NULL,NULL,NULL
"189","021401","ANCASH","OCROS","OCROS",NULL,NULL,NULL
"190","021402","ANCASH","OCROS","ACAS",NULL,NULL,NULL
"191","021403","ANCASH","OCROS","CAJAMARQUILLA",NULL,NULL,NULL
"192","021404","ANCASH","OCROS","CARHUAPAMPA",NULL,NULL,NULL
"193","021405","ANCASH","OCROS","COCHAS",NULL,NULL,NULL
"194","021406","ANCASH","OCROS","CONGAS",NULL,NULL,NULL
"195","021407","ANCASH","OCROS","LLIPA",NULL,NULL,NULL
"196","021408","ANCASH","OCROS","SAN CRISTOBAL DE RAJAN",NULL,NULL,NULL
"197","021409","ANCASH","OCROS","SAN PEDRO",NULL,NULL,NULL
"198","021410","ANCASH","OCROS","SANTIAGO DE CHILCAS",NULL,NULL,NULL
"199","021501","ANCASH","PALLASCA","CABANA",NULL,NULL,NULL
"200","021502","ANCASH","PALLASCA","BOLOGNESI",NULL,NULL,NULL
"201","021503","ANCASH","PALLASCA","CONCHUCOS",NULL,NULL,NULL
"202","021504","ANCASH","PALLASCA","HUACASCHUQUE",NULL,NULL,NULL
"203","021505","ANCASH","PALLASCA","HUANDOVAL",NULL,NULL,NULL
"204","021506","ANCASH","PALLASCA","LACABAMBA",NULL,NULL,NULL
"205","021507","ANCASH","PALLASCA","LLAPO",NULL,NULL,NULL
"206","021508","ANCASH","PALLASCA","PALLASCA",NULL,NULL,NULL
"207","021509","ANCASH","PALLASCA","PAMPAS",NULL,NULL,NULL
"208","021510","ANCASH","PALLASCA","SANTA ROSA",NULL,NULL,NULL
"209","021511","ANCASH","PALLASCA","TAUCA",NULL,NULL,NULL
"210","021601","ANCASH","POMABAMBA","POMABAMBA",NULL,NULL,NULL
"211","021602","ANCASH","POMABAMBA","HUAYLLAN",NULL,NULL,NULL
"212","021603","ANCASH","POMABAMBA","PAROBAMBA",NULL,NULL,NULL
"213","021604","ANCASH","POMABAMBA","QUINUABAMBA",NULL,NULL,NULL
"214","021701","ANCASH","RECUAY","RECUAY",NULL,NULL,NULL
"215","021702","ANCASH","RECUAY","CATAC",NULL,NULL,NULL
"216","021703","ANCASH","RECUAY","COTAPARACO",NULL,NULL,NULL
"217","021704","ANCASH","RECUAY","HUAYLLAPAMPA",NULL,NULL,NULL
"218","021705","ANCASH","RECUAY","LLACLLIN",NULL,NULL,NULL
"219","021706","ANCASH","RECUAY","MARCA",NULL,NULL,NULL
"220","021707","ANCASH","RECUAY","PAMPAS CHICO",NULL,NULL,NULL
"221","021708","ANCASH","RECUAY","PARARIN",NULL,NULL,NULL
"222","021709","ANCASH","RECUAY","TAPACOCHA",NULL,NULL,NULL
"223","021710","ANCASH","RECUAY","TICAPAMPA",NULL,NULL,NULL
"224","021801","ANCASH","SANTA","CHIMBOTE",NULL,NULL,NULL
"225","021802","ANCASH","SANTA","CACERES DEL PERU",NULL,NULL,NULL
"226","021803","ANCASH","SANTA","COISHCO",NULL,NULL,NULL
"227","021804","ANCASH","SANTA","MACATE",NULL,NULL,NULL
"228","021805","ANCASH","SANTA","MORO",NULL,NULL,NULL
"229","021806","ANCASH","SANTA","NEPEÑA",NULL,NULL,NULL
"230","021807","ANCASH","SANTA","SAMANCO",NULL,NULL,NULL
"231","021808","ANCASH","SANTA","SANTA",NULL,NULL,NULL
"232","021809","ANCASH","SANTA","NUEVO CHIMBOTE",NULL,NULL,NULL
"233","021901","ANCASH","SIHUAS","SIHUAS",NULL,NULL,NULL
"234","021902","ANCASH","SIHUAS","ACOBAMBA",NULL,NULL,NULL
"235","021903","ANCASH","SIHUAS","ALFONSO UGARTE",NULL,NULL,NULL
"236","021904","ANCASH","SIHUAS","CASHAPAMPA",NULL,NULL,NULL
"237","021905","ANCASH","SIHUAS","CHINGALPO",NULL,NULL,NULL
"238","021906","ANCASH","SIHUAS","HUAYLLABAMBA",NULL,NULL,NULL
"239","021907","ANCASH","SIHUAS","QUICHES",NULL,NULL,NULL
"240","021908","ANCASH","SIHUAS","RAGASH",NULL,NULL,NULL
"241","021909","ANCASH","SIHUAS","SAN JUAN",NULL,NULL,NULL
"242","021910","ANCASH","SIHUAS","SICSIBAMBA",NULL,NULL,NULL
"243","022001","ANCASH","YUNGAY","YUNGAY",NULL,NULL,NULL
"244","022002","ANCASH","YUNGAY","CASCAPARA",NULL,NULL,NULL
"245","022003","ANCASH","YUNGAY","MANCOS",NULL,NULL,NULL
"246","022004","ANCASH","YUNGAY","MATACOTO",NULL,NULL,NULL
"247","022005","ANCASH","YUNGAY","QUILLO",NULL,NULL,NULL
"248","022006","ANCASH","YUNGAY","RANRAHIRCA",NULL,NULL,NULL
"249","022007","ANCASH","YUNGAY","SHUPLUY",NULL,NULL,NULL
"250","022008","ANCASH","YUNGAY","YANAMA",NULL,NULL,NULL
"251","030101","APURIMAC","ABANCAY","ABANCAY",NULL,NULL,NULL
"252","030102","APURIMAC","ABANCAY","CHACOCHE",NULL,NULL,NULL
"253","030103","APURIMAC","ABANCAY","CIRCA",NULL,NULL,NULL
"254","030104","APURIMAC","ABANCAY","CURAHUASI",NULL,NULL,NULL
"255","030105","APURIMAC","ABANCAY","HUANIPACA",NULL,NULL,NULL
"256","030106","APURIMAC","ABANCAY","LAMBRAMA",NULL,NULL,NULL
"257","030107","APURIMAC","ABANCAY","PICHIRHUA",NULL,NULL,NULL
"258","030108","APURIMAC","ABANCAY","SAN PEDRO DE CACHORA",NULL,NULL,NULL
"259","030109","APURIMAC","ABANCAY","TAMBURCO",NULL,NULL,NULL
"260","030201","APURIMAC","ANDAHUAYLAS","ANDAHUAYLAS",NULL,NULL,NULL
"261","030202","APURIMAC","ANDAHUAYLAS","ANDARAPA",NULL,NULL,NULL
"262","030203","APURIMAC","ANDAHUAYLAS","CHIARA",NULL,NULL,NULL
"263","030204","APURIMAC","ANDAHUAYLAS","HUANCARAMA",NULL,NULL,NULL
"264","030205","APURIMAC","ANDAHUAYLAS","HUANCARAY",NULL,NULL,NULL
"265","030206","APURIMAC","ANDAHUAYLAS","HUAYANA",NULL,NULL,NULL
"266","030207","APURIMAC","ANDAHUAYLAS","KISHUARA",NULL,NULL,NULL
"267","030208","APURIMAC","ANDAHUAYLAS","PACOBAMBA",NULL,NULL,NULL
"268","030209","APURIMAC","ANDAHUAYLAS","PACUCHA",NULL,NULL,NULL
"269","030210","APURIMAC","ANDAHUAYLAS","PAMPACHIRI",NULL,NULL,NULL
"270","030211","APURIMAC","ANDAHUAYLAS","POMACOCHA",NULL,NULL,NULL
"271","030212","APURIMAC","ANDAHUAYLAS","SAN ANTONIO DE CACHI",NULL,NULL,NULL
"272","030213","APURIMAC","ANDAHUAYLAS","SAN JERONIMO",NULL,NULL,NULL
"273","030214","APURIMAC","ANDAHUAYLAS","SAN MIGUEL DE CHACCRAMPA",NULL,NULL,NULL
"274","030215","APURIMAC","ANDAHUAYLAS","SANTA MARIA DE CHICMO",NULL,NULL,NULL
"275","030216","APURIMAC","ANDAHUAYLAS","TALAVERA",NULL,NULL,NULL
"276","030217","APURIMAC","ANDAHUAYLAS","TUMAY HUARACA",NULL,NULL,NULL
"277","030218","APURIMAC","ANDAHUAYLAS","TURPO",NULL,NULL,NULL
"278","030219","APURIMAC","ANDAHUAYLAS","KAQUIABAMBA",NULL,NULL,NULL
"279","030220","APURIMAC","ANDAHUAYLAS","JOSE MARIA ARGUEDAS",NULL,NULL,NULL
"280","030301","APURIMAC","ANTABAMBA","ANTABAMBA",NULL,NULL,NULL
"281","030302","APURIMAC","ANTABAMBA","EL ORO",NULL,NULL,NULL
"282","030303","APURIMAC","ANTABAMBA","HUAQUIRCA",NULL,NULL,NULL
"283","030304","APURIMAC","ANTABAMBA","JUAN ESPINOZA MEDRANO",NULL,NULL,NULL
"284","030305","APURIMAC","ANTABAMBA","OROPESA",NULL,NULL,NULL
"285","030306","APURIMAC","ANTABAMBA","PACHACONAS",NULL,NULL,NULL
"286","030307","APURIMAC","ANTABAMBA","SABAINO",NULL,NULL,NULL
"287","030401","APURIMAC","AYMARAES","CHALHUANCA",NULL,NULL,NULL
"288","030402","APURIMAC","AYMARAES","CAPAYA",NULL,NULL,NULL
"289","030403","APURIMAC","AYMARAES","CARAYBAMBA",NULL,NULL,NULL
"290","030404","APURIMAC","AYMARAES","CHAPIMARCA",NULL,NULL,NULL
"291","030405","APURIMAC","AYMARAES","COLCABAMBA",NULL,NULL,NULL
"292","030406","APURIMAC","AYMARAES","COTARUSE",NULL,NULL,NULL
"293","030407","APURIMAC","AYMARAES","IHUAYLLO",NULL,NULL,NULL
"294","030408","APURIMAC","AYMARAES","JUSTO APU SAHUARAURA",NULL,NULL,NULL
"295","030409","APURIMAC","AYMARAES","LUCRE",NULL,NULL,NULL
"296","030410","APURIMAC","AYMARAES","POCOHUANCA",NULL,NULL,NULL
"297","030411","APURIMAC","AYMARAES","SAN JUAN DE CHACÑA",NULL,NULL,NULL
"298","030412","APURIMAC","AYMARAES","SAÑAYCA",NULL,NULL,NULL
"299","030413","APURIMAC","AYMARAES","SORAYA",NULL,NULL,NULL
"300","030414","APURIMAC","AYMARAES","TAPAIRIHUA",NULL,NULL,NULL
"301","030415","APURIMAC","AYMARAES","TINTAY",NULL,NULL,NULL
"302","030416","APURIMAC","AYMARAES","TORAYA",NULL,NULL,NULL
"303","030417","APURIMAC","AYMARAES","YANACA",NULL,NULL,NULL
"304","030501","APURIMAC","COTABAMBAS","TAMBOBAMBA",NULL,NULL,NULL
"305","030502","APURIMAC","COTABAMBAS","COTABAMBAS",NULL,NULL,NULL
"306","030503","APURIMAC","COTABAMBAS","COYLLURQUI",NULL,NULL,NULL
"307","030504","APURIMAC","COTABAMBAS","HAQUIRA",NULL,NULL,NULL
"308","030505","APURIMAC","COTABAMBAS","MARA",NULL,NULL,NULL
"309","030506","APURIMAC","COTABAMBAS","CHALLHUAHUACHO",NULL,NULL,NULL
"310","030601","APURIMAC","CHINCHEROS","CHINCHEROS",NULL,NULL,NULL
"311","030602","APURIMAC","CHINCHEROS","ANCO_HUALLO",NULL,NULL,NULL
"312","030603","APURIMAC","CHINCHEROS","COCHARCAS",NULL,NULL,NULL
"313","030604","APURIMAC","CHINCHEROS","HUACCANA",NULL,NULL,NULL
"314","030605","APURIMAC","CHINCHEROS","OCOBAMBA",NULL,NULL,NULL
"315","030606","APURIMAC","CHINCHEROS","ONGOY",NULL,NULL,NULL
"316","030607","APURIMAC","CHINCHEROS","URANMARCA",NULL,NULL,NULL
"317","030608","APURIMAC","CHINCHEROS","RANRACANCHA",NULL,NULL,NULL
"318","030609","APURIMAC","CHINCHEROS","ROCCHACC",NULL,NULL,NULL
"319","030610","APURIMAC","CHINCHEROS","EL PORVENIR",NULL,NULL,NULL
"320","030611","APURIMAC","CHINCHEROS","LOS CHANKAS",NULL,NULL,NULL
"321","030612","APURIMAC","CHINCHEROS","AHUAYRO",NULL,NULL,NULL
"322","030701","APURIMAC","GRAU","CHUQUIBAMBILLA",NULL,NULL,NULL
"323","030702","APURIMAC","GRAU","CURPAHUASI",NULL,NULL,NULL
"324","030703","APURIMAC","GRAU","GAMARRA",NULL,NULL,NULL
"325","030704","APURIMAC","GRAU","HUAYLLATI",NULL,NULL,NULL
"326","030705","APURIMAC","GRAU","MAMARA",NULL,NULL,NULL
"327","030706","APURIMAC","GRAU","MICAELA BASTIDAS",NULL,NULL,NULL
"328","030707","APURIMAC","GRAU","PATAYPAMPA",NULL,NULL,NULL
"329","030708","APURIMAC","GRAU","PROGRESO",NULL,NULL,NULL
"330","030709","APURIMAC","GRAU","SAN ANTONIO",NULL,NULL,NULL
"331","030710","APURIMAC","GRAU","SANTA ROSA",NULL,NULL,NULL
"332","030711","APURIMAC","GRAU","TURPAY",NULL,NULL,NULL
"333","030712","APURIMAC","GRAU","VILCABAMBA",NULL,NULL,NULL
"334","030713","APURIMAC","GRAU","VIRUNDO",NULL,NULL,NULL
"335","030714","APURIMAC","GRAU","CURASCO",NULL,NULL,NULL
"336","040101","AREQUIPA","AREQUIPA","AREQUIPA",NULL,NULL,NULL
